Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Выполнение работ по текущему содержанию дорог с грунтовым покрытием;'223250802000025080100100860014211244';;;1000000.00;RUB;NA;NA;АДМИНИСТРАЦИЯ НАХОДКИНСКОГО ГОРОДСКОГО ОКРУГА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ НАХОДКИНСКОГО ГОРОДСКОГО ОКРУГА""";26.05.2022;03.06.2022;NA
Услуги по страхованию имущества для нужд МКУ КУМИ Олекминского района РС(Я);'223142100880014210100100020016512244';;;299519.33;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ"" МУНИЦИПАЛЬНОГО РАЙОНА ""ОЛЕКМИНСКИЙ РАЙОН"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ОЛЕКМИНСКИЙ РАЙОН"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";26.05.2022;03.06.2022;NA
Поставка канцелярских товаров в рамках реализации краевых профильных каникулярных сборов по программе «Навигатор молодежного движения» с круглосуточным пребыванием детей на базе Центра для активной молодежи урочище Шарголь. ;;1;Поставка канцелярских товаров в рамках реализации краевых профильных каникулярных сборов по программе «Навигатор молодежного движения» с круглосуточным пребыванием детей на базе Центра для активной молодежи урочище Шарголь.;100856.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ДОМ МОЛОДЕЖИ""";;06.06.2022;;NA
Поставка продуктов питания (00004491-ЭА);'222751300092275130100100540020000244';;;235576.30;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НЕРЧИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Поставка крупы (00004452-ЭА);'222753401682875340100100100011061244';;;44222.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 1"" ЗАБАЙКАЛЬСКОГО КРАЯ";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";27.05.2022;06.06.2022;NA
Поставка сантехнических изделий (подводка к смесителю, подводка для воды, удлинитель гибкий для унитаза,  муфта, угольник).;'221280103126928010100100230150000244';;;25478.90;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛЕДСТВЕННЫЙ ИЗОЛЯТОР № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АМУРСКОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛЕДСТВЕННЫЙ ИЗОЛЯТОР № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АМУРСКОЙ ОБЛАСТИ""";26.05.2022;03.06.2022;NA
"Выполнение работ по сносу здания ДС ""Елочка"" для нужд МКУ КУМИ Олекминского района РС(Я)";'223142100880014210100100090014311244';;;300000.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ"" МУНИЦИПАЛЬНОГО РАЙОНА ""ОЛЕКМИНСКИЙ РАЙОН"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ОЛЕКМИНСКИЙ РАЙОН"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";26.05.2022;03.06.2022;NA
Закупка топлива для служебных автомобилей;'223410800813041080100100010010000244';;;1560360.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО И ОРГАНИЗАЦИОННОГО ОБЕСПЕЧЕНИЯ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ УСТЬ-БОЛЬШЕРЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА""";АДМИНИСТРАЦИЯ УСТЬ-БОЛЬШЕРЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;25.05.2022;03.06.2022;NA
Поставка продовольственных товаров;;1;Поставка продовольственных товаров;152951.30;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЧАУНСКАЯ ТОРГОВАЯ КОМПАНИЯ"" ЧАУНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА";;06.06.2022;;NA
Поставка машин вычислительных, системных блоков, моноблоков, ноутбуков;'221272401815827240100100570012620244';;;4734920.11;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""";25.05.2022;06.06.2022;NA
Поставка индикаторов для контроля стерилизации и пакетов для стерилизации;'222143512898514350100100030280000244';;;129480.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДЕТСКАЯ ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";23.05.2022;02.06.2022;NA
Поставка наборов для вертебропластики;'222143506040914350100100110960000244';;;444048.30;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЯКУТСКИЙ РЕСПУБЛИКАНСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";24.05.2022;02.06.2022;NA
На поставку моющего раствора для автоматического биохимического анализатора ACCENT – 300, фирмы CORMAY;'222143512898514350100100020080000244';;;13236.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДЕТСКАЯ ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";23.05.2022;02.06.2022;NA
Поставка расходных материалов на 2022 год (простыни одноразовые);'222141000294114100100100100550000244';;;53000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ВИЛЮЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА ИМЕНИ П.А. ПЕТРОВА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";25.05.2022;02.06.2022;NA
Оказание услуг по проведению специальной оценки условий труда;'222272100181527210100101400017120244';;;28500.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНЫМИ ЗДАНИЯМИ ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНЫМИ ЗДАНИЯМИ ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ""";27.05.2022;03.06.2022;NA
"Поставка респираторов для нужд ФГБУ ""Заповедное Приамурье"" ";'221272005150027220100100400013299244';;;44533.40;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ПРИРОДНЫХ ЗАПОВЕДНИКОВ И НАЦИОНАЛЬНЫХ ПАРКОВ ХАБАРОВСКОГО КРАЯ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ПРИРОДНЫХ ЗАПОВЕДНИКОВ И НАЦИОНАЛЬНЫХ ПАРКОВ ХАБАРОВСКОГО КРАЯ""";26.05.2022;03.06.2022;NA
Оказание услуг по утилизации списанного муниципального имущества;'223253612344925400100100170013821244';;;167740.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ПО ПРОДАЖЕ МУНИЦИПАЛЬНЫХ ЗЕМЕЛЬ И НЕДВИЖИМОСТИ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ПО ПРОДАЖЕ МУНИЦИПАЛЬНЫХ ЗЕМЕЛЬ И НЕДВИЖИМОСТИ""";25.05.2022;02.06.2022;NA
Поставка средства дезинфицирующего;'222272316632227230100103470012020244';;;362457.60;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ КРАЕВАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" ИМЕНИ А. К. ПИОТРОВИЧА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ КРАЕВАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" ИМЕНИ А. К. ПИОТРОВИЧА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";26.05.2022;03.06.2022;NA
Поставка электрических товаров;'223490700194149070100100130010000244';;;409191.80;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ ХАСЫНСКОГО ГОРОДСКОГО ОКРУГА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ ХАСЫНСКОГО ГОРОДСКОГО ОКРУГА""";26.05.2022;03.06.2022;NA
Установка индивидуальных приборов учета газа;'223272122857327210100100080014322244';;;46464.48;RUB;NA;NA;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И ЭКСПЛУАТАЦИИ ЖИЛИЩНОГО ФОНДА АДМИНИСТРАЦИИ ГОРОДА ХАБАРОВСКА;АДМИНИСТРАЦИЯ ГОРОДА ХАБАРОВСКА;27.05.2022;06.06.2022;NA
Поставка нефтепродуктов по топливным картам;;1;Поставка нефтепродуктов по топливным картам ;4937020.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ХАБАРОВСКА ""ДОРРЕМСТРОЙ""";;19.05.2022;06.06.2022;NA
Выборочный капитальный ремонт элементов благоустройства прилегающей территории к зданию суда;'221253617880025360100100460154399243';;;684058.80;RUB;NA;NA;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;27.05.2022;06.06.2022;NA
Поставка диагностических препаратов;'221272402250027240100100230022110244';;;145713.35;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ХАБАРОВСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ХАБАРОВСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";25.05.2022;06.06.2022;NA
Стоматологический расходный материал;'222252000181525200100100530043250244';;;99840.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МИХАЙЛОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МИХАЙЛОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";25.05.2022;02.06.2022;NA
Поставка запасных частей и расходных материалов для водолазного снаряжения и оборудования;'221381107023738270100100240012899244';;;344306.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БАЙКАЛЬСКИЙ ПОИСКОВО-СПАСАТЕЛЬНЫЙ ОТРЯД МЧС РОССИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БАЙКАЛЬСКИЙ ПОИСКОВО-СПАСАТЕЛЬНЫЙ ОТРЯД МЧС РОССИИ""";26.05.2022;03.06.2022;NA
"Оказание услуг по сопровождению программного комплекса ""Бюджет-СМАРТ""";'223140700787614070100100060015829242';;;350100.00;RUB;NA;NA;"УПРАВЛЕНИЕ ФИНАНСОВ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО РАЙОНА ""ВЕРХНЕВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОНТРАКТНАЯ СЛУЖБА МУНИЦИПАЛЬНОГО РАЙОНА ""ВЕРХНЕВИЛЮЙСКИЙ УЛУС (РАЙОН)""";25.05.2022;03.06.2022;NA
Оказание услуг по организации отдыха и оздоровления детей из малоимущих семей, детей – инвалидов, детей военнослужащих, сотрудников правоохранительных органов, погибших при исполнении обязанностей военной службы (служебных обязанностей), детей из семей, находящихся в социально опасном положении, в загородном оздоровительном лагере;'222272117164827210100101430018541323';;;1898866.50;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ ПО Г. ХАБАРОВСКУ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;20.05.2022;06.06.2022;NA
Поставка бензина автомобильного на третий квартал;'221381108773838080100100250021920244';;;1099318.00;RUB;NA;NA;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО ИРКУТСКОЙ ОБЛАСТИ;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ПО ИРКУТСКОЙ ОБЛАСТИ;26.05.2022;03.06.2022;NA
приобретение в муниципальную собственность муниципального образования г. Бодайбо и района жилого помещения (2);'223380200134038020100100610026810412';;;3283417.28;RUB;NA;NA;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г.БОДАЙБО И РАЙОНА;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г.БОДАЙБО И РАЙОНА;27.05.2022;06.06.2022;NA
Поставка лекарственных средств для проведения химиотерапии (00004352-ЭА);'222753602440875360100100150572120244';;;37822.50;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАБАЙКАЛЬСКИЙ КРАЕВОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""";26.05.2022;06.06.2022;NA
Проведение обследования технического состояния оборудования котельной медицинского склада №1;'222272402019627240100100230017120611';;;99980.33;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ЦЕНТР МОБИЛИЗАЦИОННЫХ РЕЗЕРВОВ ""РЕЗЕРВ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;06.06.2022;NA
Разработка проектной документации  «Капитальный ремонт мостовых переходов через р. Шикова  и р. Начилово на автомобильных дорогах регионального значения Усть-Большерецкого района Камчатского края»;'222410112488141010100100660337112243';;;4252526.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ КАМЧАТСКОГО КРАЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ КАМЧАТСКОГО КРАЯ""";25.05.2022;02.06.2022;NA
